file_name,SGPA,CGPA
20011614023_1800265434.html,7.08,N/A
20011614023_1800265728.html,7.9333333333,N/A
20011614023_1800265846.html,8.08,N/A
20011614024_1800265372.html,8.43,N/A
20011614024_1800265434.html,7.31,N/A
20011614024_1800265728.html,8.3333333333,N/A
20011614024_1800265846.html,8.42,N/A
20011614025_1800265372.html,8.21,N/A
20011614025_1800265434.html,7.31,N/A
20011614025_1800265728.html,8.3333333333,N/A
20011614025_1800265846.html,8.33,N/A
20011614026_1800265372.html,9.21,N/A
20011614026_1800265434.html,8.00,N/A
20011614026_1800265728.html,8.4666666667,N/A
20011614026_1800265846.html,9.08,N/A
20011614027_1800265372.html,9.07,N/A
20011614027_1800265434.html,8.23,N/A
20011614027_1800265728.html,8.8666666667,N/A
20011614027_1800265846.html,8.92,N/A
20011614029_1800265370.html,7.52,N/A
20011614029_1800265372.html,2.79,N/A
20011614029_1800265432.html,7.17,N/A
20011614029_1800265433.html,R,N/A
20011614029_1800265434.html,R,N/A
20011614029_1800265726.html,R,N/A
20011614029_1800265727.html,R,N/A
20011614029_1800265728.html,R,N/A
20011614029_1800265843.html,6.21,N/A
20011614029_1800265845.html,6.33,N/A
20011614029_1800265846.html,6.92,N/A
20011614030_1800265372.html,7.71,N/A
20011614030_1800265434.html,7.15,N/A
20011614030_1800265728.html,8.2666666667,N/A
20011614030_1800265846.html,8.17,N/A
20011614031_1800265372.html,8.21,N/A
20011614031_1800265434.html,7.54,N/A
20011614031_1800265728.html,8.3333333333,N/A
20011614031_1800265846.html,8.50,N/A
20011614032_1800265372.html,8.93,N/A
20011614032_1800265434.html,7.85,N/A
20011614032_1800265728.html,8.7333333333,N/A
20011614032_1800265846.html,8.92,N/A
20011614033_1800265372.html,8.64,N/A
20011614033_1800265434.html,7.54,N/A
20011614033_1800265728.html,8.5333333333,N/A
20011614033_1800265846.html,8.58,N/A
20011614035_1800265372.html,7.29,N/A
20011614035_1800265434.html,7.15,N/A
20011614035_1800265728.html,8.1333333333,N/A
20011614035_1800265846.html,8.50,N/A
20011614036_1800265372.html,8.50,N/A
20011614036_1800265434.html,7.46,N/A
20011614036_1800265728.html,8.3333333333,N/A
20011614036_1800265846.html,8.42,N/A
20011614037_1800265372.html,8.50,N/A
20011614037_1800265434.html,7.92,N/A
20011614037_1800265728.html,8.3333333333,N/A
20011614037_1800265846.html,8.75,N/A
20011614039_1800265372.html,8.07,N/A
20011614039_1800265434.html,7.31,N/A
20011614039_1800265728.html,8.0666666667,N/A
20011614039_1800265846.html,8.25,N/A
20011614040_1800265372.html,6.07,N/A
20011614040_1800265434.html,R,N/A
20011614040_1800265728.html,7.5333333333,N/A
20011614040_1800265844.html,5.77,N/A
20011614040_1800265846.html,8.50,N/A
20011614042_1800265372.html,7.79,N/A
20011614042_1800265434.html,7.23,N/A
20011614042_1800265728.html,7.9333333333,N/A
20011614042_1800265846.html,7.67,N/A
20011614044_1800265372.html,7.71,N/A
20011614044_1800265434.html,R,N/A
