file_name,SGPA,CGPA
20010101023_1800265934.html,4.17,4.67
20010101024_1800265267.html,6.42,7.57
20010101024_1800265331.html,7.85,7.95
20010101024_1800265469.html,6.00,7.26
20010101024_1800265814.html,6.52,7.13
20010101024_1800265934.html,7.39,7.16
20010101025_1800265267.html,6.71,7.58
20010101025_1800265469.html,6.13,7.32
20010101025_1800265814.html,6.59,7.19
20010101025_1800265934.html,6.39,7.10
20010101026_1800265267.html,2.67,5.81
20010101026_1800265331.html,4.77,6.82
20010101026_1800265469.html,2.58,5.65
20010101026_1800265499.html,5.69,7.15
20010101026_1800265500.html,4.08,6.40
20010101026_1800265789.html,4.75,6.81
20010101026_1800265790.html,2.58,5.98
20010101026_1800265814.html,5.74,5.93
20010101026_1800265931.html,4.75,6.81
20010101026_1800265932.html,2.58,5.98
20010101026_1800265934.html,5.22,5.84
20010101027_1800265267.html,4.25,5.92
20010101027_1800265331.html,4.77,6.46
20010101027_1800265469.html,5.46,6.06
20010101027_1800265499.html,5.85,6.84
20010101027_1800265788.html,6.31,7.00
20010101027_1800265789.html,4.25,6.33
20010101027_1800265814.html,6.48,6.21
20010101027_1800265931.html,4.25,6.33
20010101027_1800265934.html,5.39,6.10
20010101028_1800265267.html,5.54,7.09
20010101028_1800265331.html,7.23,7.59
20010101028_1800265469.html,6.46,7.20
20010101028_1800265500.html,6.71,7.38
20010101028_1800265814.html,7.30,7.21
20010101028_1800265934.html,6.22,7.08
20010101029_1800265267.html,6.71,7.56
20010101029_1800265331.html,7.54,7.84
20010101029_1800265469.html,6.42,7.34
20010101029_1800265814.html,7.26,7.36
20010101029_1800265934.html,6.22,7.21
20010101031_1800265267.html,4.88,6.97
20010101031_1800265331.html,7.15,7.65
20010101031_1800265469.html,6.46,7.07
20010101031_1800265789.html,6.63,7.40
20010101031_1800265814.html,6.52,7.09
20010101031_1800265934.html,6.39,6.99
20010101032_1800265267.html,2.79,5.43
20010101032_1800265331.html,4.77,6.28
20010101032_1800265469.html,4.21,5.49
20010101032_1800265499.html,5.38,6.50
20010101032_1800265500.html,3.67,5.81
20010101032_1800265788.html,5.38,6.50
20010101032_1800265789.html,4.33,5.97
20010101032_1800265790.html,4.21,5.62
20010101032_1800265814.html,5.41,5.58
20010101032_1800265930.html,6.08,6.74
20010101032_1800265931.html,5.08,6.34
20010101032_1800265932.html,4.71,6.02
20010101032_1800265934.html,5.04,5.79
20010101033_1800265267.html,3.75,5.96
20010101033_1800265331.html,4.85,6.68
20010101033_1800265469.html,1.67,5.58
20010101033_1800265499.html,5.54,6.92
20010101033_1800265500.html,5.38,6.54
20010101033_1800265790.html,2.17,6.07
20010101033_1800265814.html,4.48,5.79
20010101033_1800265932.html,4.17,6.47
20010101033_1800265933.html,4.93,6.19
20010101033_1800265934.html,5.74,6.13
20010101034_1800265267.html,6.63,6.97
20010101034_1800265331.html,6.00,7.08
20010101034_1800265469.html,6.00,6.78
20010101034_1800265499.html,6.00,7.08
20010101034_1800265814.html,5.81,6.77
20010101034_1800265933.html,5.81,6.77
20010101034_1800265934.html,4.61,6.48
20010101035_1800265267.html,7.71,8.01
20010101035_1800265469.html,7.42,7.89
20010101035_1800265814.html,7.81,7.88
20010101035_1800265934.html,8.17,7.92
20010101036_1800265267.html,6.58,7.21
20010101036_1800265331.html,6.69,7.42
20010101036_1800265469.html,6.88,7.15
20010101036_1800265814.html,7.26,7.17
20010101036_1800265934.html,7.52,7.22
20010101037_1800265267.html,8.21,8.81
20010101037_1800265469.html,8.25,8.70
20010101037_1800265814.html,8.19,8.60
20010101037_1800265934.html,8.52,8.59
20010101039_1800265267.html,6.21,6.74
20010101039_1800265331.html,6.08,6.92
20010101039_1800265469.html,4.67,6.34
20010101039_1800265499.html,6.08,6.92
20010101039_1800265788.html,6.08,6.92
20010101039_1800265790.html,4.67,6.34
20010101039_1800265814.html,6.67,6.40
20010101039_1800265932.html,5.67,6.66
20010101039_1800265934.html,6.48,6.64
20010101040_1800265267.html,8.33,8.61
20010101040_1800265469.html,7.67,8.43
20010101040_1800265814.html,8.00,8.35
20010101040_1800265934.html,8.39,8.35
20010101041_1800265267.html,3.33,4.92
20010101041_1800265331.html,2.46,5.43
20010101041_1800265469.html,2.13,4.52
20010101041_1800265499.html,3.15,5.68
20010101041_1800265500.html,3.33,5.10
20010101041_1800265788.html,3.85,5.92
20010101041_1800265789.html,4.00,5.45
20010101041_1800265790.html,2.63,4.89
20010101041_1800265814.html,3.63,4.66
20010101041_1800265930.html,5.58,6.53
20010101041_1800265931.html,4.00,5.91
20010101041_1800265932.html,4.46,5.62
20010101041_1800265933.html,4.96,5.50
20010101041_1800265934.html,4.96,5.43
20010101042_1800265267.html,5.75,7.27
20010101042_1800265469.html,6.08,7.23
20010101042_1800265500.html,6.75,7.51
20010101042_1800265814.html,6.70,7.13
20010101042_1800265934.html,7.00,7.12
20010101043_1800265267.html,7.42,8.31
20010101043_1800265469.html,7.17,8.08
