,0,1,2
120,21012714004_1800265842.html,5.83 , 
121,23012014059_1800265840.html,5.13 , 
122,20012414040_1800265846.html,8.00 , 
123,22012614041_1800265734.html,7.03 , 
124,23013314053_1800265840.html,6.97 , 
125,21012714011_1800265843.html,6.14 , 
126,22012114031_1800265734.html,7.24 , 
127,21012914014_1800265844.html,7.85 , 
128,21021914001_1800265434.html,R , 
129,20012214024_1800265846.html,4.83 , 
130,21012114015_1800265726.html,9.2142857143 , 
131,20012114058_1800265728.html,8.1333333333 , 
132,21011814036_1800265431.html,7.31 , 
133,20013414010_1800265727.html,R , 
134,20013214014_1800265372.html,4.86 , 
135,20013514007_1800265846.html,2.67 , 
136,20013314027_1800265372.html,3.43 , 
137,21011715006_1800265221.html,4.90 ,4.90 
138,21011814039_1800265844.html,8.54 , 
139,20013214003_1800265371.html,4.50 , 
140,20013314043_1800265728.html,R , 
141,21013314007_1800265431.html,7.07 , 
142,20012914011_1800265728.html,8.9333333333 , 
143,20011914036_1800265846.html,8.33 , 
144,22013014041_1800265841.html,7.07 , 
145,21011914007_1800265370.html,8.69 , 
146,22011914031_1800265430.html,7.41 , 
147,21013014022_1800265726.html,R , 
148,21012614010_1800265843.html,6.71 , 
149,20012114066_1800265434.html,7.23 , 
150,20013114037_1800265434.html,R , 
151,23013014031_1800265840.html,8.17 , 
152,22012114075_1800265430.html,7.93 , 
153,21012314054_1800265370.html,6.90 , 
154,21012814056_1800265844.html,7.23 , 
155,20012314005_1800265434.html,8.62 , 
156,22012614033_1800265735.html,8.8965517241 , 
157,20013514004_1800265844.html,6.85 , 
158,22012414043_1800265734.html,6.93 , 
159,22012814017_1800265430.html,7.48 , 
160,21012914027_1800265735.html,6.7931034483 , 
161,20012314007_1800265728.html,8.6 , 
162,21011914047_1800265370.html,7.55 , 
163,20013014013_1800265846.html,6.58 , 
164,21013214024_1800265432.html,6.58 , 
165,21012514030_1800265430.html,R , 
166,20012814041_1800265846.html,5.92 , 
167,21013314021_1800265370.html,7.31 , 
168,22012614063_1800265430.html,7.50 , 
169,23011914024_1800265840.html,6.10 , 
170,23013614044_1800265840.html,4.72 , 
171,21012214061_1800265726.html,6.5714285714 , 
172,21013514002_1800265726.html,R , 
173,22013314080_1800265430.html,8.21 , 
174,22012314021_1800265734.html,7.57 , 
175,21012414014_1800265735.html,R , 
176,23012314056_1800265840.html,7.47 , 
177,20012514065_1800265432.html,R , 
178,21012114046_1800265726.html,8.7142857143 , 
179,22013614005_1800265734.html,7.1 , 
180,22011814026_1800265842.html,8.08 , 
181,20013114034_1800265434.html,7.46 , 
182,21012514039_1800265844.html,5.31 , 
183,20012114062_1800265844.html,6.54 , 
184,23013114047_1800265840.html,7.90 , 
185,20012614002_1800265727.html,R , 
186,20013414010_1800265372.html,4.29 , 
187,22012214060_1800265430.html,R , 
188,22011614027_1800265841.html,5.45 , 
189,20012514017_1800265433.html,R , 
