
filename,sgpa,cgpa 
20012514055_1800265845.html,7.33 , 
20013314003_1800265434.html,7.62 , 
23012714028_1800265840.html,6.70 , 
21012914007_1800265844.html,8.15 , 
20013314017_1800265728.html,8.6 , 
20012714052_1800265844.html,5.54 , 
22013614017_1800265430.html,7.21 , 
20013414005_1800265728.html,R , 
23013214087_1800265840.html,3.52 , 
20012914046_1800265846.html,8.08 , 
20012314016_1800265434.html,8.08 , 
22013514022_1800265842.html,7.92 , 
20012414016_1800265434.html,R , 
20013314014_1800265843.html,7.00 , 
22013114108_1800265734.html,7.0333333333 , 
20013114070_1800265372.html,8.14 , 
22012214052_1800265735.html,7.8620689655 , 
21012514035_1800265370.html,7.90 , 
20011914027_1800265727.html,R , 
21013614047_1800265843.html,4.00 , 
22013214025_1800265842.html,2.33 , 
21013014036_1800265844.html,5.62 , 
20013214005_1800265846.html,8.00 , 
20012014003_1800265728.html,7.3333333333 , 
23013314045_1800265840.html,8.66 , 
20012314019_1800265728.html,8.2 , 
23012214006_1800265840.html,6.70 , 
22012514037_1800265734.html,6.5666666667 , 
20013014007_1800265433.html,R , 
23012714034_1800265840.html,4.34 , 
21013514008_1800265370.html,6.31 , 
22012314025_1800265842.html,6.67 , 
20012514036_1800265846.html,2.00 , 
20013114088_1800265846.html,7.83 , 
20012514051_1800265372.html,7.86 , 
21012414057_1800265726.html,8.2142857143 , 
20013514012_1800265727.html,R , 
21012714033_1800265726.html,R , 
20011914049_1800265372.html,4.29 , 
20012114076_1800265845.html,5.73 , 
23013414025_1800265840.html,5.27 , 
22012314062_1800265430.html,8.24 , 
21012314020_1800265430.html,R , 
22012714035_1800265735.html,8.10 , 
20013514002_1800265728.html,R , 
20013214001_1800265434.html,7.15 , 
20013014042_1800265728.html,7.9333333333 , 
21012514058_1800265734.html,7.03 , 
22013114009_1800265842.html,6.17 , 
23012014050_1800265840.html,7.90 , 
20013614012_1800265372.html,3.21 , 
21013014017_1800265431.html,R , 
20012914001_1800265372.html,7.64 , 
20013514015_1800265843.html,6.79 , 
20012114088_1800265372.html,5.29 , 
20012214033_1800265845.html,5.27 , 
21012714014_1800265432.html,7.50 , 
21013114064_1800265843.html,7.07 , 
21012214024_1800265432.html,6.25 , 
21012514064_1800265726.html,R , 
22012314046_1800265842.html,7.50 , 
23013614057_1800265840.html,4.80 , 
22013314094_1800265430.html,R , 
20012914054_1800265728.html,7.6 , 
23012314008_1800265840.html,6.79 , 
22013314070_1800265735.html,7.38 , 
20012714020_1800265726.html,R , 
22012714001_1800265734.html,6.73 , 
21012214055_1800265844.html,8.38 , 
20012814034_1800265434.html,R , 
21013114019_1800265370.html,8.21 , 
21012514049_1800265842.html,7.67 , 
20012814032_1800265845.html,5.67 , 
20013514001_1800265372.html,6.64 , 
21013014055_1800265432.html,7.17 , 
20012614009_1800265372.html,4.36 , 
22013214096_1800265842.html,2.50 , 
22012314004_1800265734.html,7.00 , 
21013414011_1800265844.html,7.69 , 
21012814043_1800265844.html,3.15 , 
21012514051_1800265725.html,7.4166666667 , 
21013314025_1800265843.html,4.93 , 
21012114031_1800265370.html,6.14 , 
21011914013_1800265844.html,7.54 , 
21011814054_1800265726.html,8.2857142857 , 
20012714038_1800265372.html,7.36 , 
23013414001_1800265840.html,7.14 , 
21013414025_1800265735.html,7.2068965517 , 
22013014059_1800265735.html,R , 
22013214045_1800265430.html,7.93 , 
20012214027_1800265372.html,4.07 , 
23012614029_1800265840.html,6.30 , 
20012714059_1800265843.html,5.21 , 
21013114107_1800265431.html,7.55 , 
21013514024_1800265844.html,1.92 , 
22012414045_1800265735.html,7.2413793103 , 
22013014012_1800265842.html,2.42 , 
22011614010_1800265842.html,4.33 , 
21012814050_1800265431.html,R , 
21012214011_1800265726.html,R , 
22012514008_1800265430.html,R , 
21012814015_1800265844.html,6.23 , 
22011614069_1800265430.html,R , 
22013614050_1800265430.html,R , 
21012114099_1800265370.html,5.03 , 
20011914064_1800265433.html,7.21 , 
21012114043_1800265843.html,8.00 , 
22013114021_1800265735.html,7.724137931 , 
21012014032_1800265432.html,R , 
20012414044_1800265434.html,7.00 , 
20013614022_1800265846.html,8.00 , 
22012814043_1800265430.html,7.07 , 
22013314074_1800265430.html,7.77 , 
21013614011_1800265432.html,7.33 , 
20013514032_1800265728.html,7.5333333333 , 
23015414065_1800265840.html,6.52 , 
22012114100_1800265841.html,7.28 , 
22013314084_1800265842.html,5.00 , 
20012014025_1800265846.html,8.67 , 
21012414048_1800265843.html,3.07 , 
22012714048_1800265430.html,7.10 , 
22012114003_1800265430.html,R , 
20012714048_1800265372.html,7.71 , 
22012914031_1800265842.html,8.42 , 
20013014024_1800265846.html,6.83 , 
21013414018_1800265843.html,7.57 , 
21013314050_1800265370.html,8.31 , 
22013114088_1800265735.html,7.5517241379 , 
21013414027_1800265369.html,7.28 , 
21013014010_1800265843.html,3.07 , 
21013114008_1800265432.html,7.67 , 
20013614020_1800265845.html,6.00 , 
21012614069_1800265844.html,7.23 , 
21012314008_1800265726.html,7 , 
22011614048_1800265842.html,4.58 , 
22012314042_1800265842.html,5.08 , 
21013214013_1800265726.html,R , 
20013114086_1800265846.html,7.25 , 
20012214024_1800265727.html,R , 
20013114020_1800265434.html,8.08 , 
20012814034_1800265433.html,R , 
20013114031_1800265434.html,8.23 , 
20012214007_1800265844.html,6.38 , 
21012014053_1800265726.html,7.9285714286 , 
21013214065_1800265842.html,5.92 , 
22012714059_1800265430.html,8.52 , 
21013614048_1800265726.html,9.0714285714 , 
21012114009_1800265370.html,8.41 , 
21012614015_1800265370.html,4.24 , 
20012614024_1800265726.html,6.9285714286 , 
22013214025_1800265735.html,R , 
22012714056_1800265734.html,R , 
20012114070_1800265846.html,7.83 , 
20012214028_1800265434.html,R , 
21013414050_1800265431.html,R , 
21012314013_1800265844.html,3.23 , 
20012714003_1800265846.html,7.42 , 
21013514013_1800265844.html, , 
20012114070_1800265372.html,6.21 , 
22012414005_1800265430.html,R , 
21012914049_1800265430.html,7.76 , 
20012514049_1800265372.html,3.00 , 
22013214105_1800265842.html,2.50 , 
22011814059_1800265430.html,7.34 , 
22012514020_1800265734.html,6.8333333333 , 
23013214072_1800265840.html,4.24 , 
23012714068_1800265840.html,4.67 , 
22012314063_1800265735.html,7.55 , 
22013214057_1800265430.html,R , 
20012214034_1800265372.html,8.29 , 
20013514032_1800265726.html,7.0714285714 , 
23012714013_1800265840.html,7.79 , 
20012714030_1800265728.html,R , 
21013414044_1800265844.html,4.23 , 
21023514001_1800265728.html,7.5333333333 , 
20012814050_1800265728.html,8.6 , 
21012814059_1800265844.html,3.69 , 
21013114001_1800265725.html,7.25 , 
20013114006_1800265727.html,R , 
22012914019_1800265430.html,7.90 , 
22023114003_1800265432.html,7.75 , 
22012314020_1800265841.html,7.55 , 
20013114064_1800265846.html,6.42 , 
21012414027_1800265841.html,6.86 , 
22011814043_1800265734.html,R , 
21012114094_1800265432.html,8.92 , 
20012314053_1800265728.html,8.1333333333 , 
21011914019_1800265844.html,1.46 , 
21012514004_1800265726.html,8.7142857143 , 
21012014019_1800265370.html,7.21 , 
22011814051_1800265430.html,8.83 , 
21013314045_1800265844.html,7.69 , 
21013114040_1800265735.html,6.724137931 , 
21023614001_1800265372.html,7.14 , 
21011914023_1800265844.html,7.46 , 
20011614029_1800265370.html,7.52 , 
22013514062_1800265735.html,7.24 , 
23011614022_1800265840.html,8.17 , 
20012414015_1800265372.html,7.43 , 
21021914002_1800265372.html,8.36 , 
23012814007_1800265840.html,8.30 , 
20013214048_1800265371.html,6.17 , 
22013614025_1800265735.html,R , 
20012014026_1800265372.html,8.21 , 
21012714037_1800265370.html,7.34 , 
20013114085_1800265726.html,R , 
20012114063_1800265728.html,8.7333333333 , 
20012514004_1800265846.html,3.08 , 
21012214019_1800265726.html,R , 
20012714029_1800265433.html,R , 
20013414006_1800265846.html,8.08 , 
21011814032_1800265432.html,R , 
21013314060_1800265843.html,6.86 , 
23013114089_1800265840.html,6.93 , 
20012114037_1800265846.html,7.17 , 
22013314079_1800265735.html,8.45 , 
22011914033_1800265430.html,6.90 , 
21012414007_1800265431.html,R , 
20012114021_1800265434.html,R , 
21013114098_1800265726.html,7.7142857143 , 
20011914044_1800265434.html,R , 
20013614023_1800265846.html,7.58 , 
22012814006_1800265430.html,7.30 , 
20011914024_1800265372.html,7.43 , 
22012814035_1800265735.html,8.1034482759 , 
22012214052_1800265430.html,7.17 , 
22013114070_1800265842.html,7.75 , 
22012414052_1800265430.html,R , 
22015214024_1800265842.html,8.83 , 
20012914014_1800265844.html,6.77 , 
23011914025_1800265840.html,6.66 , 
20013214034_1800265726.html,R , 
