file_name,cgpa,scgpa
btech/found/20010203027_1800265243.html,8.04,7.77
btech/found/20010101034_1800265933.html,6.77,5.81
btech/found/22020905021_1800265902.html,5.74,6.19
btech/found/21010505042_1800265900.html,3.46,3.67
btech/found/22020901033_1800265788.html,7.04,7.04
btech/found/21010101012_1800265291.html,Result PASS,7.33
btech/found/21011003009_1800265758.html,"Result MA-202,",5.10
btech/found/22021505001_1800265903.html,5.20,5.60
btech/found/20011203018_1800265762.html,Result PASS,8.90
btech/found/22010301037_1800265812.html,1.90,1.50
btech/found/20010505026_1800265775.html,7.92,7.59
btech/found/22021201021_1800265788.html,7.12,7.12
btech/found/21010104043_1800265986.html,7.37,7.75
btech/found/22010304043_1800265815.html,3.23,3.58
btech/found/22010505060_1800265771.html,6.54,6.5
btech/found/20011101002_1800265469.html,5.75,3.92
btech/found/21010101016_1800265932.html,7.30,5.96
btech/found/21010107021_1800265777.html,3.72,4.22
btech/found/22010205005_1800265770.html,1.0416666667,1.0416666667
btech/found/21021303008_1800265243.html,,
btech/found/22020603002_1800265589.html,Result PASS,7.46
btech/found/21021203004_1800266013.html,8.20161290322581,8.26086956521739
btech/found/23010204021_1800265989.html,4.43,4.43
btech/found/21010401024_1800265468.html,"Result MA-301 ,CE-301 ,",5.57
btech/found/21020205017_1800265550.html,6.35,6.35
btech/found/23010306025_1800265980.html,5.22,5.22
btech/found/20010301054_1800265933.html,6.75,6.41
btech/found/22010203052_1800265758.html,"Result MA-202,",6.79
btech/found/22010104038_1800265818.html,5.96,5.96
btech/found/22010501028_1800265467.html,"Result MA-101, HS-102 ,",4.58
btech/found/20011403001_1800265762.html,"Result CS-601 ,CS-604 ,CS-606,",5.25
btech/found/20010205010_1800265219.html,6.61,6.81
btech/found/23010304021_1800265989.html,1.61,1.61
btech/found/20011103006_1800265243.html,6.20,3.04
btech/found/21011201011_1800265498.html,5.25,3.21
btech/found/20010301009_1800265814.html,7.32,7.15
btech/found/23021005024_1800265901.html,7.13,7.13
btech/found/20010305001_1800265275.html,Result PASS,8.16
btech/found/21010603050_1800266011.html,7,7.11538461538461
btech/found/21010401007_1800265786.html,5.29,5.29
btech/found/21020505004_1800265550.html,8.46,8.46
btech/found/23020107009_1800265917.html,4.70,4.70
btech/found/22011303021_1800266009.html,2.73611111111111,2.875
btech/found/22011203023_1800265758.html,"Result MA-202,",4.85
btech/found/22010101025_1800265786.html,2.83,2.83
btech/found/21021005007_1800265550.html,5.21,5.21
btech/found/21021003001_1800266008.html,6.66666666666667,6.66666666666667
btech/found/20010104058_1800265518.html,7.54,7.67
btech/found/20011503002_1800265591.html,"Result CS-502, CS-503 , CS-504 ,",5.01
btech/found/21010501043_1800265329.html,Result PASS,8.17
btech/found/20010203039_1800265284.html,"Result MA-401 ,CS-401 , CS-402 ,CS-404 ,",4.85
btech/found/22010205029_1800265899.html,5.33,5.33
btech/found/20010301001_1800265469.html,7.48,6.92
btech/found/21010501009_1800265786.html,5.29,5.29
btech/found/15760_1800265944.html,Total 520,Civil Engineering
btech/found/22010501019_1800265812.html,5.60,5.88
btech/found/21020204001_1800265817.html,7.20,6.88
btech/found/22010501032_1800265786.html,5.00,5.00
btech/found/20010505048_1800265903.html,5.87,5.07
btech/found/22021103005_1800265760.html,Result PASS,7.15
btech/found/21010301059_1800265930.html,5.30,5.23
btech/found/23020401025_1800265930.html,7.23,7.23
btech/found/21010203048_1800265299.html,"Result HS-201, MA-202, CH-101 ,EE-101 ,EC-101 ,HS-103 ,",2.38
btech/found/22020107015_1800265539.html,7.21739130434783,0
btech/found/20011005002_1800265775.html,5.92,4.33
btech/found/22010205033_1800265530.html,2.96,2.96
btech/found/22010603067_1800266009.html,1.27777777777778,0.958333333333333
btech/found/22010501011_1800265928.html,5.29,5.29
btech/found/22010905003_1800265901.html,5.86,5.63
btech/found/23010101001_1800265991.html,5.13,5.13
btech/found/22020505005_1800265773.html,7.92,8.27
btech/found/21011403011_1800266006.html,5.21,5.21
btech/found/23015103068_1800266016.html,Result PASS,7.91
btech/found/20010203011_1800265284.html,Result PASS,7.32
btech/found/22010203016_1800266006.html,5.04,5.04
btech/found/23011203026_1800266016.html,"Result PHY-111, EE-111 ,MA-111 ,",3.43
btech/found/23011203002_1800266016.html,Result PASS,7.26
btech/found/21010603035_1800265238.html,8.04,8.04
btech/found/21020205001_1800265275.html,Result PASS,7.85
btech/found/20010101039_1800265934.html,6.64,6.48
btech/found/20010701004_1800265790.html,7.26,6.71
btech/found/22010305008_1800265530.html,4.17,4.17
btech/found/21021303003_1800265243.html,8.38,8.38
btech/found/20011203016_1800265760.html,"Result CS-404 ,",6.92
btech/found/20010205008_1800265532.html,6.92,6.88
btech/found/21021101002_1800265469.html,5.92,6.65
btech/found/22010301017_1800265467.html,"Result MA-101, PH-101 ,ME-101 ,",3.63
btech/found/21010301055_1800265813.html,6.82,4.38
btech/found/22010304027_1800265982.html,4.63,4.63
btech/found/22010104035_1800265984.html,5.10,3.58
btech/found/21011103003_1800265299.html,Result PASS,7.35
btech/found/21021201001_1800265469.html,7.95,7.25
btech/found/22010103042_1800266003.html,5.04,5.04
btech/found/21020305002_1800265275.html,Result PASS,8.29
btech/found/22021005016_1800265531.html,4.04,4.04
btech/found/22011103011_1800266007.html,3.67,2.38
btech/found/22010301057_1800265812.html,3.79,2.33
btech/found/21010305059_1800265531.html,6.34,6.85
btech/found/22010903007_1800265587.html,"Result MA-101, PH-101 ,ME-101 ,CS-101 ,HS-102 ,",2.33
btech/found/21010305033_1800265771.html,3.83,2.83
